Murcko_scafold,count,source
N=c1[nH]c2ccccc2n1CCCOc1ccccc1,8,RNA non-binders
O=c1[nH]c2ccc(CNCc3ccccc3)cc2[nH]1,8,RNA non-binders
O=C1N(Cc2ccccc2)c2ccccc2C12C=COC=C2,8,RNA non-binders
c1ncnc(N2CCOCC2)n1,8,RNA non-binders
O=C1OCC[C@@]12CC(c1csc(Nc3ccccc3)n1)OC2=O,8,RNA non-binders
O=c1[nH]c2ccc(CNCCc3ccccc3)cc2[nH]1,8,RNA non-binders
c1ncc2sc3ncc4c(c3c2n1)CCOC4,8,RNA non-binders
c1ccc(CNc2ccnc3nncn23)cc1,8,RNA non-binders
c1ccc(CNc2ccnc3nc(-c4ccccc4)nn23)cc1,8,RNA non-binders
c1ccc(Nc2nc3nonc3nc2N2CCCCC2)cc1,8,RNA non-binders
c1ccc(-c2ncccn2)cc1,8,RNA non-binders
c1ccc(-c2[nH]c3ccnn3c2NC2CCCCCCC2)cc1,8,RNA non-binders
O=C1CNC=C1c1nc2ccccc2[nH]1,8,RNA non-binders
c1cc(N2CCCC2)ncn1,8,RNA non-binders
c1ccc(OCCCn2c(C3CC3)nc3ccccc32)cc1,8,RNA non-binders
c1cnc(Nc2nc3ccccc3o2)nc1,8,RNA non-binders
O=c1ncc2[nH]cnc2[nH]1,8,RNA non-binders
c1ccoc1,8,RNA non-binders
O=C1NC(=O)c2cccc3cccc1c23,8,RNA non-binders
c1cc2cc3c(nc2s1)CCNC3,8,RNA non-binders
c1ccc(-c2cc3nccc(N4CCNCC4)n3n2)cc1,8,RNA non-binders
c1ccc(Cc2nc3ncccn3n2)cc1,8,RNA non-binders
c1ccc(-c2ncn[nH]2)cc1,8,RNA non-binders
O=C(Cn1ccnn1)Nc1ccccc1,8,RNA non-binders
O=C1Nc2ccccc2[C@]12C=COC(c1ccccc1)=C2,8,RNA non-binders
c1ccc(-c2cc[nH]n2)cc1,8,RNA non-binders
O=C1c2ccccc2[C@@H](Nc2ccccc2)N1C1CCNCC1,8,RNA non-binders
O=C1CNC(=O)N1CCCOc1ccccc1,8,RNA non-binders
c1ccc(Nc2nc(-c3ccccc3)no2)cc1,8,RNA non-binders
c1ccc2nc3[nH]ccc3nc2c1,8,RNA non-binders
O=C1S[C@H](Nc2ccccc2)C(=O)N1c1ccccc1,8,RNA non-binders
N=c1[nH]c2ccccc2n1CCc1ccccc1,8,RNA non-binders
c1nncs1,8,RNA non-binders
c1ccc(-n2ccnc2)cc1,8,RNA non-binders
c1ccc(CNc2ccc3c(c2)ncn3-c2ccccc2)cc1,8,RNA non-binders
c1ccc(-c2cnn3c(NCc4cccnc4)ccnc23)cc1,8,RNA non-binders
c1ccc(-c2cc3nccc(NCCCN4CCOCC4)n3n2)cc1,8,RNA non-binders
O=C1Nc2ccccc2[C@@]12C=COc1n[nH]c(-c3ccccc3)c12,8,RNA non-binders
O=C(Nc1ccccc1)c1cnoc1,8,RNA non-binders
c1ccc(Cn2cccn2)cc1,8,RNA non-binders
c1ccc2c(c1)OCCO2,8,RNA non-binders
c1ccc(-c2nc(-c3cnon3)no2)cc1,7,RNA non-binders
C1CCOCC1,7,RNA non-binders
