CSK_scafold,count,source
C1CCC(CCC2CC3CC4CCCCC4CC3C2)CC1,2,RNA binders
C1CCC(CC2C3CCCCC3CC3CCCCC32)CC1,2,RNA binders
C1CCC2CC3CCCCC3CCC2C1,2,RNA binders
C1CC2CCCC2C1,2,RNA binders
C1CCC(C2CCC(C3CCC4CCCCC4C3)C2)CC1,2,RNA binders
C1CCC(CCCC2CCCC(C3CCCCC3)CC2)CC1,2,RNA binders
C1CCC(C2CCC(C3CCCCC3CCC3CCCC3)C2)CC1,2,RNA binders
C1CCCC(CCCCCCC2CCCCC2)CC1,2,RNA binders
C1CC2CCC(C3CCCC4CCCC43)CC2C1,2,RNA binders
C1CCC(CC2C3CCCCC3CC2C2CCC(C3CCCCC3)CC2)CC1,2,RNA binders
C1CCC(CCCC2CCC(CCCC3C4CCCCC4C4CCCCC43)CC2)CC1,2,RNA binders
C1CCC(CCCC2CCCC(C3CCCC3)C2)CC1,2,RNA binders
C1CCC(CCCCC2CCC3CCCCC23)C1,2,RNA binders
C1CCC(C2CCC3CC4CCCCC4C3C2)CC1,2,RNA binders
C1CCC(CC2CCC(CCC3CCCC3)CC2)CC1,2,RNA binders
C1CCC(CCCC2CCC3CCCCC3C2)CC1,2,RNA binders
C1CCC2CC3CCCC3CC2C1,2,RNA binders
C1CCC(CC2CCC3CCCC3C2)CC1,2,RNA binders
C1CCC(CCC2CCCC3CCCC32)C1,2,RNA binders
C1CCCC(CC2CCC(CC3CCC4CCCCC4C3)C2)CC1,2,RNA binders
C1CCC(CCC2CC(C3CCCCC3)CC3CCCCC32)CC1,2,RNA binders
C1CCC(CCCC2CCC(CCCC3CCCCC3)C2)CC1,2,RNA binders
C1CCC2CCCCC2CC1,2,RNA binders
C1CCC2CC(C3CCCC4CCCCC43)CC2C1,2,RNA binders
C1CCC(CCCC2CCC(C3CC4CCCCC4C3)CC2)C1,2,RNA binders
C1CCC(CC2CCC(C3CCC4CCCCC43)C2)CC1,2,RNA binders
C1CCC(CCCCCC2CCCC3CCCCC23)CC1,2,RNA binders
C1CCC(C2CCC(CCCC3CCCC4CC(C5CCCCC5)CC34)CC2)CC1,2,RNA binders
