CSK_scafold,count,source
C1CCC(CCCC2CCC(CC3CCCC3)CC2)CC1,13,RNA non-binders
C1CCC(C2CC(C3CCCCC3)C3CCCCC23)CC1,13,RNA non-binders
C1CCC(CCCC2CCC(CCCC3CCCCC3)C2)CC1,13,RNA non-binders
C1CCC(C2CCCC(CC3CCCC3)C2)CC1,13,RNA non-binders
C1CCC(CC2CC3CCCC3C2)CC1,13,RNA non-binders
C1CCC2CC3C(CCC34CCC3CCCCC34)CC2C1,13,RNA non-binders
C1CCC(CCC2CCC3CCCCC32)C1,13,RNA non-binders
C1CCC(CCCC2CCC(C3CCCC3)C2)C1,13,RNA non-binders
C1CCC(CC2CCC3(CCCCC3)C2)CC1,13,RNA non-binders
C1CCCC(C2CCCCC2)CC1,13,RNA non-binders
C1CCC(CCC2CCCC(CC3CCCC3)C2)CC1,13,RNA non-binders
C1CCCC(CC2CCCC2)CC1,13,RNA non-binders
C1CCC(CC2CCCC(C3CCCC3)C2)CC1,13,RNA non-binders
C1CCC(CC2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1,13,RNA non-binders
C1CCC(C2CCC3C(C2)CC2CCCCC23)CC1,13,RNA non-binders
C1CCC(CC2CCC3CCCCC32)C1,13,RNA non-binders
C1CC2CCC(C3CCCC4CCCCC43)CC2C1,13,RNA non-binders
C1CCC(CCCCCC2CCC3CCCC3C2)CC1,13,RNA non-binders
C1CCC(C2CCCC3CCCC32)C1,13,RNA non-binders
C1CCC2CC(C3CCCC3)CCC2C1,13,RNA non-binders
C1CCC(CC2CCC3(CCC3)CC2)CC1,13,RNA non-binders
C1CCC2C(C1)CCC21CCCC2CCCC21,13,RNA non-binders
C1CCC(CC2CCC(C3CCC4CCCCC4C3)CC2)CC1,12,RNA non-binders
C1CCC(CC2CC(C3CCCCC3)CC2CCC2CCCC2)CC1,12,RNA non-binders
C1CCC(CC2CCC3CCC(C4CCCCC4)C3C2)CC1,12,RNA non-binders
C1CCC2C(C1)CCC1C2CCCC12CCC1CCCCC12,12,RNA non-binders
C1CCC(CC2CCCC(C3CCCC3)C2)C1,12,RNA non-binders
C1CCC(C2CCC(CCCCC3CCCC3)CC2)CC1,12,RNA non-binders
C1CCC(CC2CCC(CCCC3CCCC3)CC2)CC1,12,RNA non-binders
C1CCC(CC2CCCCC2CC2CCCCC2)CC1,12,RNA non-binders
C1CCC(CCCC2CCCC(CC3CCCCC3)C2)CC1,12,RNA non-binders
C1CCC(C2CCC3CCCC4(CCC5CCCCC54)C32)CC1,12,RNA non-binders
C1CCC(CCCCC(C2CCCCC2)C2CCCCC2)CC1,12,RNA non-binders
C1CCC(C2CCCC3C4CCCCC4CC23)CC1,12,RNA non-binders
C1CCC(CCCC2CCCC3C(C4CCCCC4)CCC23)CC1,12,RNA non-binders
C1CCC(CCC2CC3CCCCC3C3CCCC23)CC1,12,RNA non-binders
C1CCC(CC2CC(C3CCCCC3)C2)CC1,12,RNA non-binders
C1CCC(CCC2CC3CCCCC3C2CC2CCCCC2)CC1,12,RNA non-binders
C1CCC(C2CCC(CCC3CCC4CCCCC43)CC2)CC1,12,RNA non-binders
C1CCC(CCCC2CCC3CCCCC32)C1,12,RNA non-binders
C1CCC2C(C1)CCC1CC3CCCCC3C12,12,RNA non-binders
C(CCCC1CCC(C2CCCCC2)C1)CCC1CCCCC1,12,RNA non-binders
C1CCC(CC2CCC3(CCC3)CC2)C1,12,RNA non-binders
C1CCC(CC2CCC(C3CCCC3)C2)C1,12,RNA non-binders
C1CCC(CC2CCC3CCCCC3C2CC2CCCCC2)CC1,12,RNA non-binders
C1CCC(C2CCC3C(CCCC3C3CCCCC3)C2)CC1,12,RNA non-binders
C1CCC(C2CCC2)CC1,12,RNA non-binders
C1CCC(CCC2CCCC(CCC3CCCCC3)C2)CC1,12,RNA non-binders
C1CCC(C2CCC(CC3CCC4CCCCC43)C2)CC1,12,RNA non-binders
C1CC2CCCC3CCCC(C1)C23,11,RNA non-binders
C1CCC2CC(CC3CCC4CCCCC4C3)CCC2C1,11,RNA non-binders
C1CCC(CC2CC3CCC(C4CCCCC4)CC3C2)CC1,11,RNA non-binders
C1CCC2(CC1)CCC(CC1CCCC1)C2,11,RNA non-binders
C1CCC(CCCCCC2C3CCCCC3C3CCCCC23)CC1,11,RNA non-binders
C1CCC2(CC1)CCCCC2,11,RNA non-binders
C(CCC1CCCC1)CCC1CCC(C2CCCCC2)C1,11,RNA non-binders
C1CCC2C(C1)CC1CCCC3CCCC2C31,11,RNA non-binders
C1CCC(CC2CCC(CC3CCC4CCCC4C3)C2)CC1,11,RNA non-binders
C1CCC(CC2CCC(CCC3CCC3C3CCCCC3)CC2)CC1,11,RNA non-binders
C1CCC(C2CCCC3CCCCCC32)CC1,11,RNA non-binders
C1CCC(CC2CCC(C3CCC4CCCCC4C3)CC2)C1,11,RNA non-binders
C1CCC(CC2CC3CCCC3CC2C2CCCCC2)CC1,11,RNA non-binders
C1CCC(CCCCC(C2CCCCC2)C2CCCC2)CC1,11,RNA non-binders
C1CCC2(CC1)CCC(CCC1CCCC1)CC2,11,RNA non-binders
C1CCC(CC2CCCC3CCCCC32)C1,11,RNA non-binders
C1CCC(C2CC3CCC4CCCCC4C3C2)CC1,11,RNA non-binders
C1CCC2CC(CC3CCC4CCCC4C3)CCC2C1,11,RNA non-binders
C1CCCC(CCCC2CCCCC2)CC1,11,RNA non-binders
C1CCC(CCCCC2CC3CCCCC3C2)C1,11,RNA non-binders
C1CCC(CCCC2CCC3(CCCCC3)CC2)CC1,11,RNA non-binders
C1CCC(CC2CCCC(CC3CCCC3)CC2)CC1,11,RNA non-binders
C1CCC(CCC2CC(C3CCCCC3)CC3CCCC32)CC1,11,RNA non-binders
C1CCC(CCCCC2C3CCCCC3C3CCCCC23)CC1,11,RNA non-binders
C1CCC(CCCCC2C3CCCCC3CC2C2CCCC2)CC1,11,RNA non-binders
C1CCC(CC2CCC(CC3CCCC3)CC2)C1,11,RNA non-binders
C1CCC(CC2CCCC3CCC(C4CCCCC4)C32)CC1,11,RNA non-binders
C1CCC(C2CCC(C3CCCC3)C3CCCCC23)CC1,11,RNA non-binders
C1CCC(CC2CCCC2CC2CCCCC2)CC1,10,RNA non-binders
C1CCC(CC2C3CCCC3CC3CCCC32)CC1,10,RNA non-binders
C1CCC(CC2CCCC(CCC3CCCC3)C2)CC1,10,RNA non-binders
C1CCC(C2CCCC3CCC4CCCCC4C32)CC1,10,RNA non-binders
C1CCC(C2CCCC(CC3CCCC3)CC2)CC1,10,RNA non-binders
C1CCC(CCC2CCCC(CC3CCCC3)CC2)CC1,10,RNA non-binders
C1CCC(CC2CCCC3CCCC32)C1,10,RNA non-binders
C1CCC(CCCCC2CCC(CC3CCCCC3)C2)CC1,10,RNA non-binders
C1CCC(CC2CCC(CC3CCC(C4CCCCC4)C3)CC2)CC1,10,RNA non-binders
C1CC2CCC(C3CCCC4CCCC43)CC2C1,10,RNA non-binders
C1CCC(CC2C(CC3CCCC3)CC3CCCCC32)CC1,10,RNA non-binders
C1CCC(CCCC2CC3CCCCC3C3CCCC23)CC1,10,RNA non-binders
C1CCC(C(C2CCCCC2)C2CCCCC2)CC1,10,RNA non-binders
C1CCC(CCC2CCC(CCC3CCCCC3)CC2)CC1,10,RNA non-binders
C1CCC(C2CCC3CC4CCCCC4C3C2)CC1,10,RNA non-binders
C1CCC(CCC2CCC(CCC3CCCCC3)C2)CC1,10,RNA non-binders
C1CCC(C2CCCC(CC3CC4CCCCC4C3)C2)CC1,10,RNA non-binders
C1CCC(CCC2CCC(C3CCCC4CCCC43)CC2)C1,10,RNA non-binders
C1CCC(C2CC3CCCCC3C2C2CCCCC2)CC1,10,RNA non-binders
C1CCC(C2CCC(CCCC3CC4CCCCC4C3)C2)CC1,10,RNA non-binders
C1CC2CCC(CC3CC4CCCCC4C3)CC2C1,10,RNA non-binders
C1CCC(C2CCCC2CC2CCCC2)CC1,10,RNA non-binders
C1CCC(CCC2CCC3(CCCCC3)CC2)CC1,10,RNA non-binders
C1CCC(CCCC2CCCC(CCC3CCCCC3)C2)CC1,10,RNA non-binders
C1CCC(CC2CCC3CCCC32)CC1,9,RNA non-binders
C1CCC(CCC2CCCC(CCCC3CCCC3)C2)CC1,9,RNA non-binders
C1CCC(CCC2CCC(C3CCCC3)C2)C1,9,RNA non-binders
C1CCC(CC2CCC(CCC3CCCC3)CC2)CC1,9,RNA non-binders
C1CCC(C2CCC(CC3CCC(CCC4CCC4C4CCCC4)CC3)CC2)CC1,9,RNA non-binders
C1CCC(CCCC2C(CCC3CCCCC3)CC3CCCCC32)CC1,9,RNA non-binders
C1CCC(CC2C3CCCCC3CC3CCCCC32)CC1,9,RNA non-binders
C1CCC(C2CCC(CCCC3CCC4CCCCC43)C2)CC1,9,RNA non-binders
C1CCC2(CC1)CC1CCCCC1C1CCCCC12,9,RNA non-binders
C1CCC(CCCCC2CCCC2C2CCCCC2)CC1,9,RNA non-binders
C1CCC(CC2CCC2C2CCC(C3CCCCC3)CC2)CC1,9,RNA non-binders
C1CCC(C2CCC(C3CCCCC3)C3CCCC23)CC1,9,RNA non-binders
C1CCC(CC2CCC(C3CC4CCCCC4C3)C2)CC1,9,RNA non-binders
C1CCC(C2CCCC2CCCC2CCCC2)CC1,9,RNA non-binders
C1CCC(CC2CCC(C3CCC(CC4CCCCC4)C3)CC2)CC1,9,RNA non-binders
C1CCC(CC2CCCC3C(C4CCCCC4)CCC23)CC1,9,RNA non-binders
C1CCC(CC2CCC(C3CCC4CCCCC4C3)C2)CC1,9,RNA non-binders
C1CCC(CC2CCC3C4CCCCC4CCC23)CC1,9,RNA non-binders
C1CCC(CCC2CCC3(CCC3)CC2)C1,9,RNA non-binders
C(CCCCC1CCCCC1)CCCC1CCCCC1,9,RNA non-binders
C1CCC(CCCC2CCCCC2C2CCCC2)CC1,9,RNA non-binders
C(CCCC1CCC2CCCCC12)CCC1CCCCC1,9,RNA non-binders
C1CCC(CCCCCC2CCCC3CCCCC23)CC1,9,RNA non-binders
C1CCC2CC(CC3CCC4CCCCC43)CC2C1,9,RNA non-binders
C(CC1CCC2CCCCC2C1)CC1CC2CCCCC2C1,9,RNA non-binders
C1CCC(C2CCC(CC3CCCC4CCCCC43)CC2)CC1,9,RNA non-binders
C1CCC(CC2CCCC2CCC2CCCC2)CC1,9,RNA non-binders
C1CCC(CC2CC3(CCC(C4CCCCC4)C4CCCC43)C3CCCCC23)CC1,9,RNA non-binders
C1CCC(CCCCC2CCCC3CC(C4CCCCC4)CC23)CC1,9,RNA non-binders
C1CCCC(CCCC2CCCC2)CC1,9,RNA non-binders
C1CCC(C2C3CC4CC(C3)CC2C4)CC1,9,RNA non-binders
C1CCC(CC2CC3CCCCC3C(C3CCCCC3)C2)CC1,9,RNA non-binders
C1CCC2CC3CC4CCCCC4CC3CC2C1,8,RNA non-binders
C1CCC(CCCCC2CCC3CCCC3C2)C1,8,RNA non-binders
C1CCC(CCCCC2C3CCCCC3CC2C2CC2)CC1,8,RNA non-binders
C1CCC(C2CCCC3(CCC4CCCCC43)C2)CC1,8,RNA non-binders
C1CCC(CC2CC3CCCCC3CC2C2CCCCC2)CC1,8,RNA non-binders
