CSK_scafold,count,source
C1CCC(C2CCC(CCC3CCC4CCCCC4C3)C2)CC1,11,Zinc dark matter
C1CCC(C2CCC3C(C2)CC2CCCCC2CC3C2CCCCC2)CC1,11,Zinc dark matter
C1CCC(CCC(C2CCCCC2)C2CCCCC2)CC1,11,Zinc dark matter
C(CCCC1CCC(C2CCCCC2)C1)CCC1CCCCC1,11,Zinc dark matter
C(CCCCCC1CCCCC1)CCCCC1CCCCC1,11,Zinc dark matter
C1CCC(CCCCCC2CCC(CCC3CCCCC3)CC2)CC1,11,Zinc dark matter
C1CCC2C(C1)CCCC2C1CCCC1,11,Zinc dark matter
C1CCC(CCCC2CC3CCC2C3)CC1,11,Zinc dark matter
C1CCC(CC2CCC(CCCC3CCCC3)CC2)CC1,11,Zinc dark matter
C1CCC(CCCCCCC2CCCC2)CC1,11,Zinc dark matter
C1CCC(CC2CCCCC2CCCCC2CCCC2)CC1,11,Zinc dark matter
C1CCC(CCCC2CCCCC2CC2CCCCC2)CC1,11,Zinc dark matter
C1CCC(CC2CCC(CCC3CCCC3)CC2)CC1,11,Zinc dark matter
C1CCC(CCCCCC(CC2CCCCC2)C2CCCCC2)CC1,11,Zinc dark matter
C1CCC(CCCC2CCC3CCCC23)CC1,11,Zinc dark matter
C1CCC(CCC2CCC(CCC3CCC4CCCCC4C3)CC2)CC1,11,Zinc dark matter
C1CCC(CCCC2CCCC(CC3CCCCC3)C2)CC1,11,Zinc dark matter
C1CCC(C2CCC(CC3CCCC4CCCCC43)C2)CC1,11,Zinc dark matter
C1CCC(CC2CCCCC2C2CCCC2)C1,10,Zinc dark matter
C1CCC(CCC2CCC(CCCC3CCCC3)CC2)CC1,10,Zinc dark matter
C1CCC(CC2CC3CCC(C4CCCCC4)CC3C2)CC1,10,Zinc dark matter
C1CCC(CCCCCC2CCCC(CC3CCCCC3)C2)CC1,10,Zinc dark matter
C1CCC(CC2CCC3CCCC32)CC1,10,Zinc dark matter
C1CCC(CCC2CCCCC2C2CCCC2)C1,10,Zinc dark matter
C1CCC(CCCC2CCC3CC(C4CCCCC4)CC23)CC1,10,Zinc dark matter
C1C2CC3CC1CC(C2)C3,10,Zinc dark matter
C1CCC(CCCC(CC2CCCCC2)C2CCCCC2)CC1,10,Zinc dark matter
C1CCC(CC(C2CCCCC2)C2CCCCC2)CC1,10,Zinc dark matter
C1CCC(CCC2CCC3CC(C4CCCCC4)C4CCCC4C3C2)CC1,10,Zinc dark matter
C1CCC(CCC2CCCCC2CC2CCCCC2)CC1,10,Zinc dark matter
C1CCC(C2CCCC2CCCC2CCCC2)CC1,10,Zinc dark matter
C1CCC(CCC2CCC(CCCC3CCCC3)C2)CC1,10,Zinc dark matter
C1CCC(CC2CCCC(CCCC3CCCC3)C2)CC1,10,Zinc dark matter
C1CCC(CCC2CCC(C3CC3)C2)CC1,10,Zinc dark matter
C1CCC(CCCC2CCCC2C2CCCC2)CC1,10,Zinc dark matter
C1CCC(CCCC2CC3CCCC3C2C2CCCCC2)CC1,10,Zinc dark matter
C1CCC(CC(CC2CCCC2)CC2CCCC2)CC1,10,Zinc dark matter
C1CCC(CC2CCC(C3CCCC3)C2)C1,10,Zinc dark matter
C1CCC(CC2CCC(CC3CCCC3)CC2)C1,10,Zinc dark matter
C1CCC(C2CC3CCCCC3CC2CC2CCCC2)CC1,10,Zinc dark matter
C1CCC(CCCCC2CCC(CC3CCCCC3)CC2)CC1,10,Zinc dark matter
C1CCC(CCCC2CCC3CC(C4CCCCC4)CC3C2)CC1,10,Zinc dark matter
C1CCC(CCC(CC2CCCCC2)C2CC3CCCCC3C2)CC1,10,Zinc dark matter
C1CCC(C2CC3C(C4CCCCC4)CC4(CC5CCCCC5C4)C3C2)CC1,10,Zinc dark matter
C1CCC(CC2CCC3(CCCC3)CC2)C1,10,Zinc dark matter
C1CC2CCC1CC2,10,Zinc dark matter
C1CCC(CC2CCCC3CCCC32)C1,10,Zinc dark matter
C1CCC(CCCC(C2CCCCC2)C2CCCCC2)CC1,10,Zinc dark matter
C1CCC(CCC2CCCC3CCCC32)C1,10,Zinc dark matter
C1CCC(CC2CCCC3(CCCC3)C2)C1,10,Zinc dark matter
C1CCC(C2CC3CCCCC3CC3CCCCC32)CC1,10,Zinc dark matter
C1CCC2C(C1)CCC2C1CCCC1,10,Zinc dark matter
C1CCC(CC2CCC(CCCCC3CCCC3)C2)CC1,10,Zinc dark matter
C1CCC(CCC2CC3C4CCC(C4)C3C2)CC1,10,Zinc dark matter
C1CCC(CCC2CCCC2CC2CCCC2)CC1,9,Zinc dark matter
C(CC1CCC2CCCCC2C1)CC1CC2CCCCC2C1,9,Zinc dark matter
C1CCC(CCCC2CC2)C1,9,Zinc dark matter
C1CCC(C2CCC(CC3CC4CCCC(C5CCCCC5)C4C3)C2)CC1,9,Zinc dark matter
C1CCC(CCC2CCC(CCC3CC4CCCCC4CC3C3CCCCC3)CC2)CC1,9,Zinc dark matter
C1CCC(CCCCCC2CCC(CCC3CCCCC3)C2)CC1,9,Zinc dark matter
C1CCC(CCC2CCCC(CCCC3CCCC3)C2)CC1,9,Zinc dark matter
C(CCCCC1CCCCC1)CCC1CCCCC1,9,Zinc dark matter
C1CCC(CC2CCCC2CCCC2CCCC2)CC1,9,Zinc dark matter
C1CCC(C2CCC(CC3CCC4CCCCC4C3)C2)CC1,9,Zinc dark matter
C1CCCC(C2CCCCC2)CC1,9,Zinc dark matter
C1CCCC(CC2CCCC2)CC1,9,Zinc dark matter
