Murcko_scafold,count,source
O=C1NC(=O)/C(=C\c2ccc(OCc3ccccc3)cc2)N1,4,Zinc dark matter
c1ccc(C2CCCC2)cc1,4,Zinc dark matter
O=C(CNc1ccccc1)NCc1ccc2c(c1)CCCC2,4,Zinc dark matter
O=C(CN(Cc1ccccc1)C(=O)CCCNc1ccccc1)NC1CCCC1,4,Zinc dark matter
O=C(CCS(=O)(=O)c1ccc2c(c1)N(C(=O)C1CC1)CC2)Nc1ccccc1,4,Zinc dark matter
O=C(CNc1ccccc1)NCc1nc(-c2ccccc2)no1,4,Zinc dark matter
O=C(NC1CCCC1)[C@@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CN(c1ccccc1)S(=O)(=O)c1ccccc1,4,Zinc dark matter
O=C1CNC(=O)N1,4,Zinc dark matter
c1ccc(-c2cscn2)cc1,4,Zinc dark matter
c1ccc(CNCC2CC2)cc1,4,Zinc dark matter
