Feature,Importance
Bit 417,0.0004980732
Bit 1729,0.0004979436
Bit 135,0.0004977204
Bit 1881,0.0004966492
Bit 525,0.0004964401
Bit 482,0.0004963004
Bit 2019,0.00049598876
Bit 399,0.0004947487
Bit 546,0.00049459626
Bit 2013,0.0004945537
Bit 761,0.0004942104
Bit 362,0.0004941276
Bit 1407,0.00049398234
Bit 569,0.0004939415
Bit 142,0.00049341546
Bit 628,0.0004927474
Bit 1053,0.0004925584
Bit 1248,0.00049230154
Bit 1333,0.0004920765
Bit 1084,0.00049170025
Bit 1747,0.0004916703
Bit 9,0.000491367
Bit 2018,0.00049115915
Bit 241,0.00049090385
Bit 745,0.00049027306
Bit 223,0.0004899141
Bit 1449,0.00048989785
Bit 897,0.0004898615
Bit 538,0.00048975507
Bit 1409,0.0004895991
Bit 733,0.00048955943
Bit 62,0.0004888665
Bit 323,0.000488642
Bit 600,0.0004870356
Bit 1359,0.00048696354
Bit 1232,0.00048687274
Bit 474,0.00048662772
Bit 1309,0.00048658162
Bit 782,0.00048556758
Bit 1447,0.00048537363
Bit 1699,0.00048519135
Bit 134,0.0004850216
Bit 632,0.00048441297
Bit 10,0.00048440913
Bit 1580,0.00048412487
Bit 1277,0.00048396265
Bit 477,0.0004838336
Bit 1798,0.00048347368
Bit 206,0.0004832608
Bit 1801,0.00048211083
Bit 609,0.00048209858
Bit 1516,0.00048137573
Bit 547,0.00048118143
Bit 1717,0.0004811117
Bit 962,0.00048106702
Bit 688,0.000480256
Bit 1274,0.00048010188
Bit 1464,0.0004793625
Bit 187,0.00047879797
Bit 1607,0.00047774924
Bit 273,0.00047638302
Bit 1250,0.00047625223
Bit 337,0.0004762489
Bit 1278,0.0004759363
Bit 513,0.00047573066
Bit 630,0.00047570033
Bit 900,0.00047562554
Bit 332,0.0004754493
Bit 603,0.00047535417
Bit 691,0.0004752063
Bit 786,0.00047510234
Bit 295,0.00047497987
Bit 1453,0.0004748271
Bit 1825,0.00047428987
Bit 1522,0.00047290575
Bit 181,0.00047265476
Bit 1412,0.00047260136
Bit 1869,0.00047237377
Bit 1524,0.00047181017
Bit 202,0.00047139774
Bit 1264,0.00047117827
Bit 1074,0.00047017387
Bit 219,0.00046983757
Bit 926,0.00046982334
Bit 1752,0.00046938792
Bit 1576,0.0004693839
Bit 1146,0.00046922368
Bit 580,0.00046788107
Bit 977,0.0004676426
Bit 1653,0.00046736602
Bit 1779,0.00046719206
Bit 1432,0.00046703318
Bit 1632,0.00046697294
Bit 2003,0.00046693848
Bit 720,0.00046622957
Bit 968,0.0004662028
Bit 551,0.00046554327
Bit 1260,0.00046541938
Bit 946,0.00046505456
Bit 3,0.00046472764
Bit 857,0.00046422373
Bit 143,0.00046386354
Bit 706,0.00046372702
Bit 929,0.00046225457
Bit 539,0.00046224223
Bit 1023,0.0004620308
Bit 1734,0.00046169024
Bit 703,0.00046089565
Bit 566,0.00046023595
Bit 1593,0.0004597806
Bit 447,0.00045955204
Bit 726,0.00045933772
Bit 1754,0.00045911246
Bit 1650,0.00045903816
Bit 522,0.00045898426
Bit 371,0.00045861176
Bit 847,0.0004585165
Bit 1724,0.00045830646
Bit 1390,0.00045752645
Bit 1368,0.00045698555
Bit 1773,0.0004569738
Bit 460,0.00045686463
Bit 1098,0.0004563137
Bit 185,0.0004563107
Bit 793,0.00045629754
Bit 817,0.0004562937
Bit 1584,0.00045605536
Bit 528,0.00045587978
Bit 625,0.00045562428
Bit 1018,0.0004556125
Bit 1404,0.00045492593
Bit 550,0.00045478938
Bit 653,0.0004547488
Bit 592,0.0004545308
Bit 2017,0.00045422392
Bit 1727,0.00045402476
Bit 619,0.00045342327
Bit 1513,0.00045331483
Bit 38,0.00045323957
Bit 1999,0.00045323328
Bit 975,0.00045291672
Bit 1297,0.00045281145
Bit 451,0.0004522727
Bit 310,0.0004521313
Bit 1387,0.00045194343
Bit 976,0.0004517746
Bit 60,0.0004517744
Bit 836,0.0004517717
Bit 242,0.00045116764
Bit 229,0.00045052264
Bit 535,0.00044996163
Bit 710,0.0004495134
Bit 838,0.0004494341
Bit 1312,0.00044808746
Bit 1517,0.00044788263
Bit 1298,0.00044736124
Bit 218,0.00044696504
Bit 1371,0.00044675535
Bit 1373,0.0004466923
Bit 125,0.00044656443
Bit 87,0.0004463451
Bit 192,0.00044627977
Bit 1144,0.00044580808
Bit 1821,0.00044559216
Bit 1473,0.00044458662
Bit 276,0.000444214
Bit 1085,0.00044421203
Bit 1331,0.00044406988
Bit 2047,0.00044378772
Bit 683,0.00044370836
Bit 72,0.0004434943
Bit 1149,0.0004433896
Bit 1565,0.0004428783
Bit 512,0.00044279863
Bit 1203,0.0004426648
Bit 291,0.00044245893
Bit 1940,0.0004422246
Bit 617,0.0004418043
Bit 1749,0.00044163933
Bit 329,0.0004412765
Bit 355,0.00044123406
Bit 553,0.00044113392
Bit 851,0.00044101686
Bit 990,0.00044078904
Bit 240,0.00044047588
Bit 438,0.00044042975
Bit 34,0.00044013443
Bit 155,0.00043982713
Bit 1482,0.0004394406
Bit 588,0.00043853204
